Date, Time, Latitude, Longitude, GPS Fix, Force, Water Level, Accel Calibration, Gyro Calibration, Magne Calibration, Sys Calibration, Quat W, Quat X, Quat Y, Quat Z, Euler X, Euler Y, Euler Z, Pressure (Pa), Altitude (m), Internal Temperature (C)
4/26/2021, 23:42:27, 21.65172, -158.06178, 1, 631, 0, 0, 0, 3, 0, 0.70, -0.14, 0.20, -0.68, 88.25, -5.19, 27.19, 101927.50, -52.38, 37.00
4/26/2021, 23:42:28, 21.65172, -158.06178, 1, 195, 0, 0, 0, 3, 0, 0.70, -0.14, 0.19, -0.67, 87.69, -4.88, 26.81, 102107.50, -53.00, 37.06
4/26/2021, 23:42:29, 21.65226, -158.06248, 1, 183, 0, 0, 0, 3, 0, 0.70, -0.12, 0.16, -0.69, 89.50, -3.19, 23.25, 101995.50, -50.31, 37.13
4/26/2021, 23:42:31, 21.65226, -158.06248, 1, 182, 0, 0, 0, 3, 0, 0.68, -0.14, 0.18, -0.69, 90.94, -3.25, 26.56, 101935.75, -50.44, 37.19
4/26/2021, 23:42:32, 21.65226, -158.06248, 1, 182, 0, 0, 0, 3, 0, 0.68, -0.15, 0.20, -0.69, 90.94, -4.13, 28.44, 102162.50, -52.56, 37.19
4/26/2021, 23:42:33, 21.65226, -158.06248, 1, 182, 0, 0, 0, 3, 0, 0.69, -0.14, 0.20, -0.68, 89.88, -4.75, 28.50, 101989.75, -56.75, 37.19
4/26/2021, 23:42:34, 21.65226, -158.06248, 1, 181, 0, 0, 0, 3, 0, 0.67, -0.15, 0.22, -0.69, 91.69, -5.00, 30.44, 101961.50, -56.75, 37.25
4/26/2021, 23:42:35, 21.65226, -158.06248, 1, 181, 0, 0, 0, 3, 0, 0.67, -0.14, 0.22, -0.69, 91.50, -5.88, 30.25, 102016.75, -54.06, 37.25
4/26/2021, 23:42:36, 21.65225, -158.06250, 1, 181, 0, 0, 0, 3, 0, 0.67, -0.14, 0.22, -0.69, 91.50, -6.06, 30.25, 102006.00, -62.63, 37.25
4/26/2021, 23:42:37, 21.65225, -158.06250, 1, 181, 0, 0, 0, 3, 0, 0.67, -0.14, 0.23, -0.69, 91.56, -6.13, 30.50, 102380.00, -79.44, 37.31
4/26/2021, 23:42:38, 21.65225, -158.06250, 1, 180, 0, 0, 0, 3, 0, 0.67, -0.15, 0.23, -0.69, 91.56, -6.25, 31.13, 102684.00, -69.69, 37.31
4/26/2021, 23:42:39, 21.65225, -158.06250, 1, 180, 0, 0, 0, 3, 0, 0.67, -0.14, 0.23, -0.69, 92.06, -6.06, 30.81, 102074.25, -64.25, 37.31
4/26/2021, 23:42:40, 21.65225, -158.06250, 1, 181, 0, 0, 0, 2, 0, 0.67, -0.15, 0.24, -0.69, 92.19, -6.00, 32.13, 101922.25, -49.13, 37.38
4/26/2021, 23:42:42, 21.65225, -158.06250, 1, 180, 0, 0, 0, 2, 0, 0.66, -0.15, 0.24, -0.69, 92.75, -5.81, 32.63, 101998.00, -52.94, 37.38
4/26/2021, 23:42:43, 21.65225, -158.06250, 1, 180, 0, 0, 0, 2, 0, 0.66, -0.15, 0.24, -0.69, 92.69, -6.19, 32.00, 101947.25, -51.63, 37.38
4/26/2021, 23:42:44, 21.65225, -158.06250, 1, 180, 0, 0, 0, 2, 0, 0.67, -0.14, 0.24, -0.68, 90.69, -7.44, 31.63, 101917.50, -60.25, 37.44
4/26/2021, 23:42:45, 21.65225, -158.06250, 1, 180, 0, 0, 0, 2, 0, 0.68, -0.14, 0.23, -0.68, 90.25, -6.81, 31.13, 102562.75, -99.13, 37.44
4/26/2021, 23:42:46, 21.65225, -158.06250, 1, 180, 0, 0, 0, 2, 0, 0.68, -0.15, 0.23, -0.68, 90.63, -6.69, 31.44, 102200.50, -70.94, 37.50
4/26/2021, 23:42:47, 21.65225, -158.06250, 1, 180, 0, 0, 0, 2, 0, 0.68, -0.14, 0.23, -0.68, 90.50, -7.00, 31.06, 102115.25, -71.88, 37.50
4/26/2021, 23:42:48, 21.65225, -158.06250, 1, 180, 0, 0, 3, 2, 0, 0.68, -0.14, 0.24, -0.68, 90.63, -7.06, 31.44, 102424.50, -86.69, 37.50
4/26/2021, 23:42:49, 21.65225, -158.06250, 1, 180, 0, 0, 3, 2, 0, 0.68, -0.14, 0.23, -0.68, 89.94, -7.50, 30.25, 102870.25, -90.94, 37.56
4/26/2021, 23:42:50, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.11, 0.21, -0.68, 89.19, -8.31, 26.06, 102236.75, -70.69, 37.56
4/26/2021, 23:42:51, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.06, 0.17, -0.69, 89.13, -8.69, 19.19, 102196.25, -65.88, 37.56
4/26/2021, 23:42:53, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.01, 0.12, -0.70, 89.56, -9.19, 10.50, 102226.50, -82.38, 37.63
4/26/2021, 23:42:54, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.22, -0.67, 88.75, -7.00, 29.75, 101977.75, -65.19, 37.63
4/26/2021, 23:42:55, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.50, -7.38, 30.00, 102142.00, -61.88, 37.63
4/26/2021, 23:42:56, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.56, -7.38, 29.88, 101997.25, -54.06, 37.63
4/26/2021, 23:42:57, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.31, 30.13, 102021.50, -58.06, 37.69
4/26/2021, 23:42:58, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.31, 29.94, 102101.75, -62.25, 37.69
4/26/2021, 23:42:59, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.31, 29.94, 102025.25, -55.75, 37.69
4/26/2021, 23:43:00, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.38, 29.75, 102020.50, -58.06, 37.75
4/26/2021, 23:43:01, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.38, 29.75, 102022.50, -58.81, 37.75
4/26/2021, 23:43:02, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.38, 29.88, 102038.75, -59.69, 37.81
4/26/2021, 23:43:04, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.69, -7.38, 29.94, 101998.75, -62.06, 37.81
4/26/2021, 23:43:05, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.75, -7.38, 29.81, 102082.50, -64.56, 37.81
4/26/2021, 23:43:06, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.69, -7.38, 29.94, 102007.75, -55.56, 37.88
4/26/2021, 23:43:07, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.69, -7.44, 29.75, 101958.00, -53.50, 37.88
4/26/2021, 23:43:08, 21.65224, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.69, -7.44, 29.69, 101964.25, -53.94, 37.88
4/26/2021, 23:43:09, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.67, -0.14, 0.23, -0.69, 91.38, -6.63, 29.94, 101942.00, -50.63, 37.94
4/26/2021, 23:43:10, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.68, -0.13, 0.22, -0.69, 90.63, -7.00, 28.44, 101937.50, -50.19, 37.94
4/26/2021, 23:43:11, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.22, -0.68, 89.63, -7.06, 28.81, 101976.75, -52.00, 37.94
4/26/2021, 23:43:12, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.22, -0.67, 88.06, -7.75, 28.81, 101933.00, -50.69, 37.94
4/26/2021, 23:43:13, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.23, -0.67, 88.13, -7.69, 29.50, 101931.50, -50.56, 38.00
4/26/2021, 23:43:15, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.14, 0.23, -0.67, 88.06, -7.94, 30.06, 102521.75, -76.75, 38.00
4/26/2021, 23:43:16, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.23, -0.67, 88.44, -7.63, 29.56, 101979.25, -54.56, 38.00
4/26/2021, 23:43:17, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.22, -0.67, 87.19, -8.13, 28.81, 102107.25, -55.50, 38.00
4/26/2021, 23:43:18, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.22, -0.67, 87.31, -8.00, 28.88, 101921.00, -49.56, 38.06
4/26/2021, 23:43:19, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.22, -0.67, 87.56, -7.94, 29.00, 102193.00, -53.25, 38.06
4/26/2021, 23:43:20, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.22, -0.67, 87.50, -8.00, 29.06, 102088.50, -62.19, 38.06
4/26/2021, 23:43:21, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.22, -0.67, 87.50, -7.94, 29.13, 101922.75, -49.44, 38.06
4/26/2021, 23:43:22, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.23, -0.67, 87.50, -8.00, 29.19, 101922.50, -49.50, 38.13
4/26/2021, 23:43:23, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.23, -0.67, 87.50, -8.00, 29.19, 101925.75, -49.69, 38.13
4/26/2021, 23:43:24, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.70, -0.13, 0.23, -0.67, 87.50, -8.00, 29.19, 101927.00, -49.69, 38.13
4/26/2021, 23:43:26, 21.65225, -158.06252, 1, 177, 0, 0, 3, 2, 0, 0.70, -0.12, 0.22, -0.67, 87.56, -8.00, 28.13, 101934.50, -49.75, 38.13
4/26/2021, 23:43:27, 21.65225, -158.06252, 1, 180, 0, 0, 3, 2, 0, 0.72, -0.11, 0.21, -0.66, 84.75, -8.94, 25.88, 101933.75, -48.13, 38.19
4/26/2021, 23:43:28, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.22, -0.68, 88.75, -7.25, 29.06, 101900.50, -48.00, 38.19
4/26/2021, 23:43:29, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.22, -0.68, 88.69, -7.25, 29.00, 101912.50, -49.06, 38.25
4/26/2021, 23:43:30, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.22, -0.68, 88.69, -7.25, 29.00, 101914.50, -48.81, 38.25
4/26/2021, 23:43:31, 21.65225, -158.06252, 1, 179, 0, 0, 3, 2, 0, 0.69, -0.13, 0.22, -0.68, 88.69, -7.25, 29.00, 101921.75, -49.50, 38.25
4/26/2021, 23:43:32, 21.65225, -158.06250, 1, 178, 0, 0, 3, 2, 0, 0.73, -0.06, 0.16, -0.66, 84.69, -8.56, 17.38, 101965.00, -52.44, 38.31
4/26/2021, 23:43:33, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 0, 0.99, -0.12, 0.04, -0.03, 2.81, -3.81, 12.94, 101929.25, -50.19, 38.38
4/26/2021, 23:43:34, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 2, 0.93, -0.11, -0.01, 0.34, 319.63, -3.63, 12.13, 101924.00, -49.94, 38.44
4/26/2021, 23:43:35, 21.65225, -158.06250, 1, 179, 0, 0, 3, 2, 2, 0.92, -0.33, 0.10, 0.20, 335.38, -18.88, 36.88, 101924.00, -51.00, 38.38
4/26/2021, 23:43:37, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 2, 0.67, -0.70, -0.02, 0.23, 323.06, -16.63, 89.19, 101926.00, -48.75, 38.38
4/26/2021, 23:43:38, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 1, 0.56, -0.67, -0.24, 0.42, 286.00, -17.06, 91.00, 101898.25, -47.00, 38.38
4/26/2021, 23:43:39, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 1, 0.38, -0.60, -0.44, 0.56, 248.25, -19.56, 95.56, 101887.75, -45.88, 38.38
4/26/2021, 23:43:40, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 0, 0.37, -0.54, -0.44, 0.61, 242.88, -19.31, 88.25, 101873.50, -45.75, 38.38
4/26/2021, 23:43:41, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 0, 0.17, -0.35, -0.56, 0.73, 206.25, -18.50, 82.94, 101879.75, -45.75, 38.38
4/26/2021, 23:43:42, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 1, 0.31, -0.53, -0.50, 0.61, 234.25, -19.44, 92.94, 101877.00, -45.50, 38.44
4/26/2021, 23:43:43, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 1, 0.45, -0.57, -0.28, 0.64, 250.31, -28.13, 76.19, 101873.25, -44.88, 38.38
4/26/2021, 23:43:44, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 0, 0.34, -0.51, -0.46, 0.64, 236.00, -19.94, 87.13, 101866.75, -45.69, 38.44
4/26/2021, 23:43:45, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 0, 0.30, -0.64, -0.29, 0.64, 230.38, -39.56, 90.19, 101867.75, -46.25, 38.44
4/26/2021, 23:43:47, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 1, 0.31, -0.25, -0.75, 0.53, 240.94, 11.69, 104.25, 101888.25, -46.63, 38.44
4/26/2021, 23:43:48, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.36, -0.10, -0.62, 0.69, 235.06, 17.56, 77.25, 101898.50, -47.63, 38.44
4/26/2021, 23:43:49, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.38, -0.19, -0.61, 0.67, 239.06, 11.88, 79.69, 101891.75, -47.00, 38.50
4/26/2021, 23:43:50, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.39, -0.21, -0.61, 0.66, 240.63, 11.25, 80.06, 101893.00, -46.94, 38.50
4/26/2021, 23:43:51, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 3, 0.41, -0.25, -0.60, 0.64, 244.75, 10.13, 81.31, 101893.25, -46.56, 38.56
4/26/2021, 23:43:52, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.34, -0.19, -0.64, 0.66, 234.25, 10.75, 83.56, 101888.75, -46.75, 38.56
4/26/2021, 23:43:53, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 3, 0.42, -0.26, -0.62, 0.61, 248.88, 11.81, 84.44, 101883.75, -46.50, 38.63
4/26/2021, 23:43:54, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.43, -0.28, -0.62, 0.59, 252.25, 12.06, 85.13, 101887.75, -46.63, 38.69
4/26/2021, 23:43:55, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.36, -0.20, -0.65, 0.64, 239.00, 11.94, 84.94, 101881.00, -46.19, 38.75
4/26/2021, 23:43:56, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.35, -0.18, -0.65, 0.65, 237.56, 13.63, 84.94, 101880.25, -45.94, 38.75
4/26/2021, 23:43:58, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.37, -0.18, -0.67, 0.61, 242.06, 15.75, 88.63, 101871.00, -45.69, 38.75
4/26/2021, 23:43:59, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.36, -0.16, -0.67, 0.62, 240.25, 16.81, 87.38, 101871.25, -45.13, 38.75
4/26/2021, 23:44:00, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.40, -0.19, -0.66, 0.61, 246.75, 17.50, 86.81, 101871.75, -45.06, 38.75
4/26/2021, 23:44:01, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.40, -0.26, -0.65, 0.59, 247.44, 11.63, 89.06, 101861.50, -44.50, 38.81
4/26/2021, 23:44:02, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.32, -0.31, -0.60, 0.67, 231.19, -1.50, 84.88, 101861.25, -44.94, 38.88
4/26/2021, 23:44:03, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.42, -0.26, -0.60, 0.63, 246.50, 9.88, 81.31, 101861.25, -44.25, 38.94
4/26/2021, 23:44:04, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.35, -0.19, -0.66, 0.64, 237.56, 12.75, 86.13, 101858.25, -44.25, 38.94
4/26/2021, 23:44:05, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.39, -0.22, -0.65, 0.61, 245.88, 13.94, 86.81, 101853.00, -44.00, 39.00
4/26/2021, 23:44:06, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.40, -0.22, -0.65, 0.61, 246.06, 14.06, 86.56, 101857.00, -43.56, 39.00
4/26/2021, 23:44:07, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.37, -0.20, -0.66, 0.62, 241.00, 13.88, 87.50, 101852.75, -43.56, 39.00
4/26/2021, 23:44:09, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.37, -0.22, -0.66, 0.62, 242.13, 12.75, 87.75, 101852.50, -44.38, 39.06
4/26/2021, 23:44:10, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.38, -0.22, -0.66, 0.61, 243.50, 13.63, 87.88, 101854.25, -43.88, 39.06
4/26/2021, 23:44:11, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.38, -0.21, -0.66, 0.61, 242.88, 13.75, 87.81, 101856.00, -44.19, 39.13
4/26/2021, 23:44:12, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.37, -0.21, -0.67, 0.61, 242.13, 13.63, 88.50, 101860.75, -44.50, 39.19
4/26/2021, 23:44:13, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.38, -0.22, -0.67, 0.60, 243.81, 14.00, 89.25, 101860.00, -44.63, 39.19
4/26/2021, 23:44:14, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.39, -0.23, -0.67, 0.59, 246.94, 14.69, 89.56, 101869.00, -44.75, 39.19
4/26/2021, 23:44:15, 21.65225, -158.06250, 1, 178, 0, 0, 3, 3, 3, 0.39, -0.22, -0.67, 0.59, 246.63, 15.06, 90.50, 101869.75, -45.25, 39.25
4/26/2021, 23:44:16, 21.65225, -158.06250, 1, 179, 0, 0, 3, 3, 3, 0.38, -0.24, -0.67, 0.59, 245.63, 12.94, 90.25, 101868.25, -44.94, 39.31
