Date, Time, Latitude, Longitude, GPS Fix, Force, Water Level, Accel Calibration, Gyro Calibration, Magne Calibration, Sys Calibration, Quat W, Quat X, Quat Y, Quat Z, Euler X, Euler Y, Euler Z, Pressure (Pa), Altitude (m), Internal Temperature (C)
4/26/2021, 22:19:54, 21.38734, -157.94646, 1, 652, 0, 1, 3, 3, 2, 0.77, -0.09, -0.25, -0.59, 74.75, 28.50, -10.38, 101055.00, 21.31, 32.25
4/26/2021, 22:19:56, 21.38734, -157.94646, 1, 215, 0, 1, 3, 3, 2, 0.75, -0.09, -0.23, -0.61, 77.88, 26.88, -9.25, 101078.50, 19.75, 32.31
4/26/2021, 22:19:57, 21.38734, -157.94646, 1, 192, 0, 1, 3, 3, 2, 0.74, -0.06, -0.13, -0.66, 82.94, 16.25, -5.00, 101163.00, 16.88, 32.31
4/26/2021, 22:19:58, 21.38734, -157.94646, 1, 188, 0, 1, 3, 3, 1, 0.71, -0.07, -0.19, -0.67, 86.63, 20.94, -9.44, 101103.25, 19.06, 32.31
4/26/2021, 22:19:59, 21.38734, -157.94646, 1, 186, 0, 1, 3, 3, 1, 0.84, -0.06, -0.23, -0.50, 61.31, 26.13, -7.63, 101102.75, 18.19, 32.38
4/26/2021, 22:20:00, 21.38734, -157.94646, 1, 187, 0, 1, 3, 3, 1, 0.84, -0.13, -0.26, -0.45, 56.31, 34.31, -0.81, 101102.50, 18.75, 32.38
4/26/2021, 22:20:01, 21.38734, -157.94646, 1, 186, 0, 1, 3, 3, 1, 0.84, -0.14, -0.26, -0.45, 56.06, 33.88, -0.13, 101103.00, 18.44, 32.38
4/26/2021, 22:20:02, 21.38734, -157.94644, 1, 186, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.25, 34.50, 0.69, 101106.75, 18.50, 32.38
4/26/2021, 22:20:03, 21.38734, -157.94644, 1, 186, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.38, 34.19, 0.69, 101112.50, 17.75, 32.38
4/26/2021, 22:20:04, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.25, -0.45, 55.56, 33.25, 0.69, 101115.00, 17.56, 32.38
4/26/2021, 22:20:05, 21.38734, -157.94644, 1, 186, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.19, 34.38, 0.81, 101118.00, 17.69, 32.44
4/26/2021, 22:20:07, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.13, 34.75, 0.44, 101116.25, 17.44, 32.44
4/26/2021, 22:20:08, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.13, 34.63, 0.13, 101120.00, 17.06, 32.44
4/26/2021, 22:20:09, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.19, 34.31, 0.06, 101125.00, 16.75, 32.44
4/26/2021, 22:20:10, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.25, 33.88, 0.19, 101124.25, 16.63, 32.44
4/26/2021, 22:20:11, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.19, 33.69, 0.31, 101126.25, 16.25, 32.44
4/26/2021, 22:20:12, 21.38734, -157.94644, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.25, 34.13, 0.44, 101131.00, 15.94, 32.44
4/26/2021, 22:20:13, 21.38734, -157.94641, 1, 184, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.38, 34.25, 0.25, 101135.50, 15.69, 32.44
4/26/2021, 22:20:14, 21.38734, -157.94641, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.26, -0.44, 55.19, 34.19, 0.13, 101138.00, 14.81, 32.50
4/26/2021, 22:20:15, 21.38734, -157.94641, 1, 185, 0, 1, 3, 3, 1, 0.85, -0.14, -0.29, -0.42, 52.50, 36.81, -0.44, 101142.75, 15.06, 32.50
